code,term,dmd_id,dmd_type,bnf_code
15091611000001100,Glimepiride 4mg tablets,15091611000001100,AMP,0601021A0AAADAD
10618111000001103,Glimepiride 4mg tablets,10618111000001103,AMP,0601021A0AAADAD
13721211000001103,Glimepiride 4mg tablets,13721211000001103,AMP,0601021A0AAADAD
11149811000001101,Glimepiride 4mg tablets,11149811000001101,AMP,0601021A0AAADAD
22028211000001104,Glimepiride 4mg tablets,22028211000001104,AMP,0601021A0AAADAD
10518311000001105,Glimepiride 4mg tablets,10518311000001105,AMP,0601021A0AAADAD
16130611000001107,Glimepiride 2mg/5ml oral solution,16130611000001107,VMP,0601021A0AAAGAG
16130711000001103,Glimepiride 2mg/5ml oral suspension,16130711000001103,VMP,0601021A0AAAGAG
16125411000001100,Glimepiride 2mg/5ml oral solution,16125411000001100,AMP,0601021A0AAAGAG
16125711000001106,Glimepiride 2mg/5ml oral suspension,16125711000001106,AMP,0601021A0AAAGAG
21366911000001103,Glimepiride 6mg/5ml oral suspension,21366911000001103,VMP,0601021A0AAAHAH
21324011000001103,Glimepiride 6mg/5ml oral suspension,21324011000001103,AMP,0601021A0AAAHAH
938211000001105,Amaryl 2mg tablets,938211000001105,AMP,0601021A0BBAAAA
228111000001101,Amaryl 1mg tablets,228111000001101,AMP,0601021A0BBABAB
164511000001108,Amaryl 3mg tablets,164511000001108,AMP,0601021A0BBACAC
259611000001101,Amaryl 4mg tablets,259611000001101,AMP,0601021A0BBADAD
13626011000001107,Niddaryl 1mg tablets,13626011000001107,AMP,0601021A0BCAAAB
13626511000001104,Niddaryl 2mg tablets,13626511000001104,AMP,0601021A0BCABAA
13626911000001106,Niddaryl 3mg tablets,13626911000001106,AMP,0601021A0BCACAC
13627211000001100,Niddaryl 4mg tablets,13627211000001100,AMP,0601021A0BCADAD
42081111000001108,Chlorpropamide 100mg tablets,42081111000001108,VMP,0601021E0AAAAAA
27692911000001108,Chlorpropamide 100mg tablets,27692911000001108,AMP,0601021E0AAAAAA
3949611000001107,Chlorpropamide 100mg tablets,3949611000001107,AMP,0601021E0AAAAAA
42081211000001102,Chlorpropamide 250mg tablets,42081211000001102,VMP,0601021E0AAABAB
3950411000001101,Chlorpropamide 250mg tablets,3950411000001101,AMP,0601021E0AAABAB
12019111000001108,Chlorpropamide 250mg/5ml oral suspension,12019111000001108,VMP,0601021E0AAADAD
11982811000001104,Chlorpropamide 250mg/5ml oral suspension,11982811000001104,AMP,0601021E0AAADAD
42082711000001102,Glibenclamide 2.5mg tablets,42082711000001102,VMP,0601021H0AAAAAA
648011000001102,Glibenclamide 2.5mg tablets,648011000001102,AMP,0601021H0AAAAAA
700011000001100,Glibenclamide 2.5mg tablets,700011000001100,AMP,0601021H0AAAAAA
656211000001109,Glibenclamide 2.5mg tablets,656211000001109,AMP,0601021H0AAAAAA
17972811000001108,Glibenclamide 2.5mg tablets,17972811000001108,AMP,0601021H0AAAAAA
10377311000001104,Glibenclamide 2.5mg tablets,10377311000001104,AMP,0601021H0AAAAAA
23943211000001106,Glibenclamide 2.5mg tablets,23943211000001106,AMP,0601021H0AAAAAA
923911000001109,Glibenclamide 2.5mg tablets,923911000001109,AMP,0601021H0AAAAAA
107311000001107,Glibenclamide 2.5mg tablets,107311000001107,AMP,0601021H0AAAAAA
30134511000001106,Glibenclamide 2.5mg tablets,30134511000001106,AMP,0601021H0AAAAAA
17914711000001102,Glibenclamide 2.5mg tablets,17914711000001102,AMP,0601021H0AAAAAA
29869311000001101,Glibenclamide 2.5mg tablets,29869311000001101,AMP,0601021H0AAAAAA
39518011000001106,Glibenclamide 2.5mg tablets,39518011000001106,AMP,0601021H0AAAAAA
918011000001106,Glibenclamide 2.5mg tablets,918011000001106,AMP,0601021H0AAAAAA
386011000001102,Glibenclamide 2.5mg tablets,386011000001102,AMP,0601021H0AAAAAA
22026011000001105,Glibenclamide 2.5mg tablets,22026011000001105,AMP,0601021H0AAAAAA
894411000001104,Glibenclamide 2.5mg tablets,894411000001104,AMP,0601021H0AAAAAA
42082811000001105,Glibenclamide 5mg tablets,42082811000001105,VMP,0601021H0AAABAB
745211000001107,Glibenclamide 5mg tablets,745211000001107,AMP,0601021H0AAABAB
695711000001101,Glibenclamide 5mg tablets,695711000001101,AMP,0601021H0AAABAB
718311000001102,Glibenclamide 5mg tablets,718311000001102,AMP,0601021H0AAABAB
17973211000001101,Glibenclamide 5mg tablets,17973211000001101,AMP,0601021H0AAABAB
10377711000001100,Glibenclamide 5mg tablets,10377711000001100,AMP,0601021H0AAABAB
23943411000001105,Glibenclamide 5mg tablets,23943411000001105,AMP,0601021H0AAABAB
903011000001101,Glibenclamide 5mg tablets,903011000001101,AMP,0601021H0AAABAB
822911000001107,Glibenclamide 5mg tablets,822911000001107,AMP,0601021H0AAABAB
30134711000001101,Glibenclamide 5mg tablets,30134711000001101,AMP,0601021H0AAABAB
17915111000001104,Glibenclamide 5mg tablets,17915111000001104,AMP,0601021H0AAABAB
29869511000001107,Glibenclamide 5mg tablets,29869511000001107,AMP,0601021H0AAABAB
39518311000001109,Glibenclamide 5mg tablets,39518311000001109,AMP,0601021H0AAABAB
535811000001108,Glibenclamide 5mg tablets,535811000001108,AMP,0601021H0AAABAB
887211000001106,Glibenclamide 5mg tablets,887211000001106,AMP,0601021H0AAABAB
22026311000001108,Glibenclamide 5mg tablets,22026311000001108,AMP,0601021H0AAABAB
120811000001108,Glibenclamide 5mg tablets,120811000001108,AMP,0601021H0AAABAB
12135711000001107,Glibenclamide 625micrograms/5ml oral solution,12135711000001107,VMP,0601021H0AAAIAI
12135811000001104,Glibenclamide 625micrograms/5ml oral suspension,12135811000001104,VMP,0601021H0AAAIAI
12107511000001101,Glibenclamide 625micrograms/5ml oral solution,12107511000001101,AMP,0601021H0AAAIAI
12107211000001104,Glibenclamide 625micrograms/5ml oral suspension,12107211000001104,AMP,0601021H0AAAIAI
8523711000001107,Glibenclamide 5mg/5ml oral solution,8523711000001107,VMP,0601021H0AAAJAJ
8523811000001104,Glibenclamide 5mg/5ml oral suspension,8523811000001104,VMP,0601021H0AAAJAJ
8494911000001105,Glibenclamide 5mg/5ml oral solution,8494911000001105,AMP,0601021H0AAAJAJ
8495611000001103,Glibenclamide 5mg/5ml oral suspension,8495611000001103,AMP,0601021H0AAAJAJ
12135511000001102,Glibenclamide 2.5mg/5ml oral solution,12135511000001102,VMP,0601021H0AAAKAK
12135611000001103,Glibenclamide 2.5mg/5ml oral suspension,12135611000001103,VMP,0601021H0AAAKAK
12108711000001107,Glibenclamide 2.5mg/5ml oral solution,12108711000001107,AMP,0601021H0AAAKAK
12108411000001101,Glibenclamide 2.5mg/5ml oral suspension,12108411000001101,AMP,0601021H0AAAKAK
12135311000001108,Glibenclamide 15mg/5ml oral solution,12135311000001108,VMP,0601021H0AAAMAM
12135411000001101,Glibenclamide 15mg/5ml oral suspension,12135411000001101,VMP,0601021H0AAAMAM
12108111000001106,Glibenclamide 15mg/5ml oral solution,12108111000001106,AMP,0601021H0AAAMAM
12107811000001103,Glibenclamide 15mg/5ml oral suspension,12107811000001103,AMP,0601021H0AAAMAM
8523911000001109,Glibenclamide 7.5mg/5ml oral solution,8523911000001109,VMP,0601021H0AAANAN
8524011000001107,Glibenclamide 7.5mg/5ml oral suspension,8524011000001107,VMP,0601021H0AAANAN
8495311000001108,Glibenclamide 7.5mg/5ml oral solution,8495311000001108,AMP,0601021H0AAANAN
8495911000001109,Glibenclamide 7.5mg/5ml oral suspension,8495911000001109,AMP,0601021H0AAANAN
37405911000001104,Glibenclamide 600micrograms/ml oral suspension sugar free,37405911000001104,VMP,0601021H0AAAPAP
37406011000001107,Glibenclamide 6mg/ml oral suspension sugar free,37406011000001107,VMP,0601021H0AAAQAQ
234011000001108,Daonil 5mg tablets,234011000001108,AMP,0601021H0BBAAAB
140711000001103,Semi-Daonil 2.5mg tablets,140711000001103,AMP,0601021H0BBACAA
233411000001102,Euglucon 2.5mg tablets,233411000001102,AMP,0601021H0BDAAAA
322511000001103,Euglucon 5mg tablets,322511000001103,AMP,0601021H0BDABAB
13511000001103,Diabetamide 2.5mg tablets,13511000001103,AMP,0601021H0BKAAAA
287811000001101,Diabetamide 5mg tablets,287811000001101,AMP,0601021H0BKABAB
37337011000001106,Amglidia 0.6mg/ml oral suspension with 1ml oral syringe,37337011000001106,AMP,0601021H0BNAAAP
37337211000001101,Amglidia 0.6mg/ml oral suspension with 5ml oral syringe,37337211000001101,AMP,0601021H0BNABAP
37337511000001103,Amglidia 6mg/ml oral suspension with 1ml oral syringe,37337511000001103,AMP,0601021H0BNACAQ
37337711000001108,Amglidia 6mg/ml oral suspension with 5ml oral syringe,37337711000001108,AMP,0601021H0BNADAQ
42082911000001100,Gliclazide 80mg tablets,42082911000001100,VMP,0601021M0AAAAAA
378911000001109,Gliclazide 80mg tablets,378911000001109,AMP,0601021M0AAAAAA
18462111000001101,Gliclazide 80mg tablets,18462111000001101,AMP,0601021M0AAAAAA
498911000001107,Gliclazide 80mg tablets,498911000001107,AMP,0601021M0AAAAAA
551111000001104,Gliclazide 80mg tablets,551111000001104,AMP,0601021M0AAAAAA
9801911000001102,Gliclazide 80mg tablets,9801911000001102,AMP,0601021M0AAAAAA
10378111000001100,Gliclazide 80mg tablets,10378111000001100,AMP,0601021M0AAAAAA
16053211000001108,Gliclazide 80mg tablets,16053211000001108,AMP,0601021M0AAAAAA
40858611000001105,Gliclazide 80mg tablets,40858611000001105,AMP,0601021M0AAAAAA
